
【10-28 17:31:14]  X:0.26272064 Y:0.09800425 Z:-1.1259837
【10-28 17:31:14]  X:0.861532 Y:-0.29747486 Z:-2.4442475
【10-28 17:31:15]  X:0.100401096 Y:0.23901853 Z:-1.7402413
【10-28 17:31:15]  X:-0.18389113 Y:-0.36112437 Z:1.2567447
【10-28 17:31:15]  X:-0.049268443 Y:-0.13062796 Z:2.5092285
【10-28 17:31:15]  X:-0.703074 Y:0.6523408 Z:1.5350449
【10-28 17:31:15]  X:0.3549991 Y:-0.12037479 Z:-0.97351784
【10-28 17:31:16]  X:0.7201182 Y:-0.25419855 Z:-2.8495803
【10-28 17:31:16]  X:0.17789903 Y:0.02210422 Z:-1.371527
【10-28 17:31:16]  X:-0.08881636 Y:-0.21078904 Z:1.1420958
【10-28 17:31:16]  X:0.060720026 Y:-0.042876862 Z:2.6068332
【10-28 17:31:16]  X:-0.17230639 Y:0.38469332 Z:1.3848428
【10-28 17:31:17]  X:0.0117179 Y:0.009187899 Z:-1.1392995
【10-28 17:31:17]  X:0.61998343 Y:-0.16218638 Z:-2.5043015
【10-28 17:31:17]  X:0.05286371 Y:0.2755038 Z:-1.3401017
【10-28 17:31:17]  X:-0.64807975 Y:-0.30346698 Z:1.2564784
【10-28 17:31:17]  X:-0.06351634 Y:-0.34794173 Z:2.3305306
【10-28 17:31:18]  X:-0.4278365 Y:0.44248387 Z:1.1076078
【10-28 17:31:18]  X:0.0045273704 Y:0.24820642 Z:-0.8411588
【10-28 17:31:18]  X:0.61931765 Y:-0.32517174 Z:-2.047703
【10-28 17:31:18]  X:0.23675485 Y:0.10839058 Z:-1.7245287
【10-28 17:31:18]  X:-0.3131875 Y:-0.2793654 Z:0.9512804
【10-28 17:31:19]  X:-0.114649 Y:-0.32916647 Z:2.557032
【10-28 17:31:19]  X:-0.35899386 Y:0.4946818 Z:1.2692616
【10-28 17:31:19]  X:0.36884755 Y:-0.0 Z:-0.7566035
【10-28 17:31:19]  X:0.7961514 Y:-0.44887546 Z:-2.0362515
【10-28 17:31:19]  X:-0.10572742 Y:0.35366753 Z:-1.7654082
【10-28 17:31:20]  X:-0.20240009 Y:-0.29893962 Z:0.44075283
【10-28 17:31:20]  X:0.21771325 Y:-0.40892807 Z:2.4687486
【10-28 17:31:20]  X:-0.34088436 Y:0.542885 Z:1.4386386
【10-28 17:31:20]  X:0.25033695 Y:-0.08122636 Z:-0.4218444
【10-28 17:31:20]  X:0.39667755 Y:-0.3351586 Z:-2.089914
【10-28 17:31:21]  X:0.23076274 Y:0.035153702 Z:-1.763544
【10-28 17:31:21]  X:-0.073236875 Y:-0.24461116 Z:0.6612624
【10-28 17:31:21]  X:-0.32517174 Y:0.01238369 Z:2.6113605
【10-28 17:31:21]  X:-0.22130851 Y:0.4326302 Z:1.497228
【10-28 17:31:21]  X:0.14807165 Y:-0.10825742 Z:-0.80174404
【10-28 17:31:22]  X:0.49601337 Y:-0.13675322 Z:-2.392449
【10-28 17:31:22]  X:0.35619754 Y:0.080560565 Z:-1.7476982
【10-28 17:31:22]  X:-0.09094688 Y:-0.21651484 Z:0.71425927
【10-28 17:31:22]  X:-0.41784966 Y:-0.093077414 Z:2.1987042
【10-28 17:31:22]  X:-0.25819328 Y:0.29587698 Z:1.5237265
【10-28 17:31:23]  X:-0.55846447 Y:0.37537226 Z:0.16338481
【10-28 17:31:23]  X:-0.42011335 Y:0.49920917 Z:-0.89761776
【10-28 17:31:23]  X:0.6745782 Y:-0.64834607 Z:-0.6475471
【10-28 17:31:23]  X:0.703873 Y:-0.9398289 Z:0.11132005
【10-28 17:31:23]  X:0.2549975 Y:-1.0052094 Z:0.006391582
【10-28 17:31:24]  X:2.3354573 Y:-2.0615516 Z:0.25819328
【10-28 17:31:24]  X:2.2185447 Y:-0.9246488 Z:-3.3406668
【10-28 17:31:24]  X:0.471246 Y:0.94488883 Z:-2.4467773
【10-28 17:31:24]  X:0.62530977 Y:0.31811434 Z:0.8106656
【10-28 17:31:24]  X:0.8671246 Y:-0.2584596 Z:3.0843377
【10-28 17:31:25]  X:-0.19281273 Y:0.6846982 Z:1.7837839
【10-28 17:31:25]  X:-1.0624673 Y:-0.2869554 Z:-1.3708612
【10-28 17:31:25]  X:0.24434485 Y:0.9705883 Z:-3.2879362
【10-28 17:31:25]  X:0.5137234 Y:0.40866175 Z:-1.5214628
【10-28 17:31:25]  X:0.46831653 Y:-0.18415745 Z:1.4604764
【10-28 17:31:26]  X:0.48469496 Y:-0.040480018 Z:3.337604
【10-28 17:31:26]  X:0.090147935 Y:0.26711485 Z:1.6463649
【10-28 17:31:26]  X:-0.41784966 Y:-0.1909485 Z:-0.96925676
【10-28 17:31:26]  X:-0.7123951 Y:0.45073968 Z:-2.703506
【10-28 17:31:26]  X:0.25819328 Y:0.36152384 Z:-2.2429125
【10-28 17:31:27]  X:-0.0061252657 Y:0.13994901 Z:0.16458324
【10-28 17:31:27]  X:0.15472955 Y:-0.2631201 Z:1.956623
【10-28 17:31:27]  X:0.15939008 Y:-0.12037479 Z:1.9076209
【10-28 17:31:27]  X:-0.29907277 Y:0.1130511 Z:0.36658385
【10-28 17:31:27]  X:-0.8018772 Y:-0.024501063 Z:-1.0785794
【10-28 17:31:28]  X:0.47657233 Y:0.10013478 Z:-1.7596824
【10-28 17:31:28]  X:-0.11225215 Y:0.10093373 Z:0.5640571
【10-28 17:31:28]  X:-0.550475 Y:0.16418377 Z:1.9270619
【10-28 17:31:28]  X:-0.19361167 Y:0.39161754 Z:0.8917588
【10-28 17:31:28]  X:0.32037804 Y:-0.016378429 Z:-0.8090677
【10-28 17:31:29]  X:0.47896916 Y:-0.18096165 Z:-0.57364446
【10-28 17:31:29]  X:0.4810997 Y:-0.41039282 Z:-1.3936311
【10-28 17:31:29]  X:-0.07882951 Y:-0.16258587 Z:0.047271073
【10-28 17:31:29]  X:-0.8351667 Y:0.1380848 Z:1.2634027
【10-28 17:31:29]  X:-0.34381384 Y:0.28269434 Z:1.9900457
【10-28 17:31:30]  X:0.24154852 Y:-0.04607265 Z:0.18162745
【10-28 17:31:30]  X:1.0844384 Y:-0.66645557 Z:-2.3537
【10-28 17:31:30]  X:0.04367581 Y:0.037683703 Z:-2.4863253
【10-28 17:31:30]  X:-0.44980758 Y:-0.18562219 Z:0.14713953
【10-28 17:31:30]  X:-0.13395691 Y:-0.14061481 Z:2.2779331
【10-28 17:31:31]  X:-0.5415534 Y:0.3756386 Z:2.2983062
【10-28 17:31:31]  X:-0.31744856 Y:0.38242966 Z:0.03834949
【10-28 17:31:31]  X:1.1327747 Y:-0.4009386 Z:-2.6864617
【10-28 17:31:31]  X:0.52437603 Y:0.1314269 Z:-2.518949
【10-28 17:31:31]  X:-0.063649505 Y:-0.2460759 Z:0.2251701
【10-28 17:31:32]  X:-0.2017343 Y:-0.30679592 Z:2.7758107
【10-28 17:31:32]  X:-0.22117536 Y:0.24434485 Z:2.402702
【10-28 17:31:32]  X:-0.0039947387 Y:0.08109319 Z:0.12996216
【10-28 17:31:32]  X:0.8259788 Y:-0.64807975 Z:-2.5664864
【10-28 17:31:32]  X:0.45273703 Y:-0.13169321 Z:-2.8764782
【10-28 17:31:33]  X:-0.19041587 Y:0.08881636 Z:-0.4342281
【10-28 17:31:33]  X:-0.26764748 Y:-0.48789075 Z:2.9686234
【10-28 17:31:33]  X:-0.2993391 Y:0.29787433 Z:2.2602232
【10-28 17:31:33]  X:-0.7601988 Y:0.40946072 Z:0.74941295
【10-28 17:31:33]  X:0.27350643 Y:-0.44887546 Z:-0.73463243
【10-28 17:31:34]  X:2.1382504 Y:-1.5254575 Z:-1.9880483
【10-28 17:31:34]  X:1.9337199 Y:-0.585895 Z:-2.1240025
【10-28 17:31:34]  X:1.042893 Y:0.45806336 Z:-1.1443595
【10-28 17:31:34]  X:-0.024234748 Y:0.18508956 Z:1.4005554
【10-28 17:31:34]  X:-0.5081307 Y:0.0070573715 Z:2.5976453
【10-28 17:31:35]  X:-0.31598383 Y:0.073636346 Z:1.4040174
【10-28 17:31:35]  X:1.1448921 Y:-0.236888 Z:-1.7560871
【10-28 17:31:35]  X:1.1214563 Y:-0.34501225 Z:-3.0117667
【10-28 17:31:35]  X:0.04474107 Y:0.14807165 Z:-1.1514168
【10-28 17:31:35]  X:-0.3106575 Y:-0.2970754 Z:1.905224
【10-28 17:31:36]  X:0.07922898 Y:-0.07097319 Z:2.7992465
【10-28 17:31:36]  X:-0.43209755 Y:0.49707866 Z:0.94542146
【10-28 17:31:36]  X:0.40453386 Y:-0.101865835 Z:-1.4962959
