
【10-28 17:31:36]  X:4.7239995 Y:5.6057367 Z:-0.38849685
【10-28 17:31:36]  X:4.574299 Y:0.698791 Z:0.7406481
【10-28 17:31:36]  X:1.3733511 Y:-5.7000246 Z:0.37058288
【10-28 17:31:36]  X:-3.0228386 Y:-7.0457726 Z:-0.52148134
【10-28 17:31:37]  X:-1.3876772 Y:-4.4729385 Z:0.22490653
【10-28 17:31:37]  X:4.5680695 Y:1.4977012 Z:-0.008021183
【10-28 17:31:37]  X:3.9208984 Y:4.9423084 Z:-0.08110979
【10-28 17:31:37]  X:3.958694 Y:3.0137994 Z:0.346959
【10-28 17:31:37]  X:3.3409014 Y:-3.202754 Z:0.5255292
【10-28 17:31:38]  X:-0.91217136 Y:-7.9500184 Z:-0.54479825
【10-28 17:31:38]  X:-4.3014307 Y:-5.6441956 Z:-0.89966077
【10-28 17:31:38]  X:3.7131395 Y:-1.5816665 Z:0.8220543
【10-28 17:31:38]  X:6.256892 Y:4.691356 Z:0.40051693
【10-28 17:31:38]  X:3.9729419 Y:4.397987 Z:1.92479
【10-28 17:31:39]  X:4.004053 Y:-1.9472761 Z:0.56583506
【10-28 17:31:39]  X:0.71577644 Y:-7.789766 Z:-0.4737383
【10-28 17:31:39]  X:-4.679117 Y:-6.959347 Z:-1.0550327
【10-28 17:31:39]  X:1.5372028 Y:-2.830489 Z:0.8815341
【10-28 17:31:39]  X:6.493971 Y:3.2616606 Z:-0.21600504
【10-28 17:31:40]  X:4.149269 Y:5.423523 Z:1.1850147
【10-28 17:31:40]  X:4.445445 Y:-0.36132193 Z:1.2526892
【10-28 17:31:40]  X:1.5822601 Y:-7.249405 Z:0.12348205
【10-28 17:31:40]  X:-4.2845144 Y:-6.9340754 Z:-1.269958
【10-28 17:31:40]  X:-0.23717022 Y:-4.5915074 Z:-0.06531685
【10-28 17:31:40]  X:6.1207104 Y:2.3104963 Z:1.7776866
【10-28 17:31:41]  X:3.755601 Y:4.951833 Z:0.8305848
【10-28 17:31:41]  X:3.8448634 Y:1.9945803 Z:1.5215347
【10-28 17:31:41]  X:3.1137943 Y:-4.800717 Z:0.67539227
【10-28 17:31:41]  X:-1.1090508 Y:-8.373648 Z:-0.47666514
【10-28 17:31:41]  X:-5.296452 Y:-5.124514 Z:-1.8568515
【10-28 17:31:42]  X:6.3732195 Y:-1.3691821 Z:1.5754565
【10-28 17:31:42]  X:3.772942 Y:3.6936996 Z:3.1988869
【10-28 17:31:42]  X:3.8013024 Y:5.0224323 Z:2.4236138
【10-28 17:31:42]  X:3.908616 Y:-1.6754503 Z:0.38629013
【10-28 17:31:42]  X:1.1129417 Y:-7.507453 Z:-0.16873121
【10-28 17:31:43]  X:-4.696796 Y:-6.287773 Z:-1.2133042
【10-28 17:31:43]  X:0.38762474 Y:-3.2187579 Z:0.14395128
【10-28 17:31:43]  X:7.207779 Y:2.2015796 Z:1.2815602
【10-28 17:31:43]  X:3.7652879 Y:6.1224303 Z:2.6543407
【10-28 17:31:43]  X:3.6859207 Y:1.7996559 Z:1.6591278
【10-28 17:31:44]  X:3.662325 Y:-6.1729674 Z:-0.5528551
【10-28 17:31:44]  X:-2.3049364 Y:-8.290726 Z:-0.20478636
